Epic ID,Epic Name,Story ID,Story Name,Task ID,Task Name,Sprint,Phase,Complexity,Dependencies,Page Route,Status
EPIC-00,Foundation & Platform,S0-API,API Integration Layer,S0-05,Implement Axios client + interceptors,0,Foundation,L,S0-02,,Todo
EPIC-00,Foundation & Platform,S0-API,API Integration Layer,S0-06,Implement TanStack Query client,0,Foundation,M,S0-05,,Todo
EPIC-00,Foundation & Platform,S0-API,API Integration Layer,S0-07,Generate OpenAPI types from gateway,0,Foundation,M,S0-05,,Todo
EPIC-00,Foundation & Platform,S0-UI,Design System,S0-03,Configure Tailwind + design tokens + dark mode,0,Foundation,M,S0-02,,Todo
EPIC-00,Foundation & Platform,S0-UI,Design System,S0-04,Initialize shadcn/ui primitives,0,Foundation,L,S0-03,,Todo
EPIC-00,Foundation & Platform,S0-UI,Design System,S0-10,Shared states EmptyState ErrorState Skeleton,0,Foundation,M,S0-04,,Todo
EPIC-00,Foundation & Platform,S0-AUTH,Auth Shell,S0-08,Auth session provider + cookie utilities,0,Foundation,L,S0-05,,Todo
EPIC-00,Foundation & Platform,S0-AUTH,Auth Shell,S0-13,Extend middleware for full route tree,0,Foundation,M,S0-08,,Todo
EPIC-00,Foundation & Platform,S0-RBAC,RBAC Primitives,S0-09,Implement Can RoleGate TierGate,0,Foundation,M,S0-08,,Todo
EPIC-00,Foundation & Platform,S0-TEST,Test Harness,S0-11,Vitest + RTL + MSW setup,0,Foundation,M,S0-02,,Todo
EPIC-00,Foundation & Platform,S0-TEST,Test Harness,S0-12,GitHub Actions CI pipeline,0,Foundation,M,S0-11,,Todo
EPIC-00,Foundation & Platform,S0-SCAFFOLD,Project Scaffold,S0-01,Install frontend dependencies,0,Foundation,S,,,Todo
EPIC-00,Foundation & Platform,S0-SCAFFOLD,Project Scaffold,S0-02,Scaffold folder structure,0,Foundation,M,S0-01,,Todo
EPIC-01,Phase 1 MVP,ST-101,Public Browse,P01,Home page,/,1,MVP,M,S0-UI,/,Todo
EPIC-01,Phase 1 MVP,ST-101,Public Browse,P02,Listings browse page,1,MVP,L,S0-API,/listings,Todo
EPIC-01,Phase 1 MVP,ST-101,Public Browse,P03,Product listing detail,1,MVP,L,P02,/listings/[id],Todo
EPIC-01,Phase 1 MVP,ST-101,Public Browse,P04,Search results page,1,MVP,L,S0-API,/search,Todo
EPIC-01,Phase 1 MVP,ST-101,Public Browse,S1-01,PublicLayout Navbar Footer MobileNav,1,MVP,L,S0-UI,,Todo
EPIC-01,Phase 1 MVP,ST-102,Auth Flow,P05,Login page,1,MVP,M,S0-AUTH,/login,Todo
EPIC-01,Phase 1 MVP,ST-102,Auth Flow,P06,Register page,1,MVP,M,S0-AUTH,/register,Todo
EPIC-01,Phase 1 MVP,ST-102,Auth Flow,P07,Verify phone page,1,MVP,M,P06,/verify-phone,Todo
EPIC-01,Phase 1 MVP,ST-102,Auth Flow,P08,Dashboard hub redirect,1,MVP,S,P05,/dashboard,Todo
EPIC-01,Phase 1 MVP,ST-103,Buyer Wallet,P09,Buyer dashboard,2,MVP,M,ST-102,/buyer/dashboard,Todo
